Property Name,Description,,,,,,
wfhReasonList,Work From Home/Remote booking reasons.,,,,,,
office,Controls whether the Office field is shown or hidden during employee profile validation,,,,,,
nodal,Controls whether the Nodal Point field is shown or hidden during employee profile validation,,,,,,
name,Controls whether the Name field is shown or hidden during employee profile validation,,,,,,
mobile,Controls whether the Mobile field is shown or hidden during employee profile validation,,,,
homeGeocode,Controls whether the Home Geocode field is shown or hidden during employee profile validation.,,,,
gender,Controls whether the Gender field is shown or hidden during employee profile validation.,,,,,,
empID,Controls whether the Employee ID field is shown or hidden during employee profile validation.,,,,,,
email,Controls whether the Email field is shown or hidden during employee profile validation.,,,,,,
enableMultiAllocation,Controls desk multi-allocation functionality and displays the Multi-allocated Desk legend entry on floor plans when value includes 'DESK' ,,,,
commuteMandatory,Requires users to select either parking or transport while creating an office booking to prevent resource-less bookings.,,,,,,
IS_WIS_CALENDAR,Enables the Native Rooms view on the Outlook Add-In and allows use of WIS Meeting Rooms with tags and allocations.,,,,,,,,,,,,,,,,,,,,,,
onlyParkingBookingEnabled,Displays only the Parking booking option on Employee Home and FAB for clients using MoveInSync exclusively for parking.,,,,,,
enablePriorityWiseAutoSlotAllocate,Assigns slots based on priority order defined by display order value.,,,,,,
enableCheckInForMeetingRoomEmpHome,"Displays the check-in button on the ""Today's Meeting"" widget for old room types and allows check-in from Employee Home.",,,,,,
allowPastAllocationTimesForCurrentDayFor,Allows admins to allocate desks/slots/rooms for past shift times on the same day.,,,,,,
ssoMandatory,Removes OTP login option and enforces SSO-only login on mobile.,,,,,,
mobileSSOMandatory,Removes the 'Continue with OTP' option on the mobile SSO login screen.,,,,,,
singleShiftOperations,Hides time components in Team Calendar and Preferences for single-shift environments.,,,,
transferBookingEnabled,Adds a 'Transfer Booking Details' column in seat and meeting room reports.,,,,
waitListBookingBufferTimeInMin,Defines buffer time in minutes for waitlist bookings.,,,,,,
vaccinationBookingUrl,URL for the vaccination booking feature in the app.,,,,,,
lastSwipeAsCheckoutTimeForBUID,Uses the last swipe checkout time as final checkout instead of auto-checkout for access card integration clients.,,,,
enableWaitlistBooking,Enables waitlist functionality in parking bookings.,,,,,,
allowedEmployeeNameRegex,Defines the allowed employee name format using regex validation.,,,,,,
maxEmployeeSelectionWorkplanner,Defines maximum number of employees allowed for recurring bookings.,,,,,,
landmark,Controls visibility of Landmark field during registration.,,,,
