Property Name,Description,,,,,,
GUEST_POLICY_HEADER,Adds a customizable guest policy header.,,,,,,
HOST_POLICY_HEADER,Adds a customizable host policy header.,,,,,,
addRoomWithVisitorBulkUpload,Adds room details to visitor bulk upload headers.,,,,,,
overStayAlertBuffer,Defines buffer time (in minutes) after end time to trigger overstay alerts.,,,,,,
tempEntryTimeLimit,Defines buffer time for entry after temporary checkout in the 2-step check-in/checkout process.,,,,,,
entryTimeInLimit,Defines buffer time for entry in the 2-step check-in/checkout process.,,,,,,
addCustomFieldsWithVisitorBulkUpload,Adds custom fields to visitor bulk upload headers.,,,,,,
sendHostEmailsToDelegate,Sends all host-triggered emails to the delegate as well.,,,,,,
preFillVisitorPhotoForExistingVisitor,Allows pre-filling of visitor photo for existing visitors.,,,,,,
enablePrintBadgeForInviteFlow,Enables badge printing for visitors via Invite flow.,,,,,,
VISITOR_PROFILE_ID,Controls whether visitor identity proof upload is required.,,,,,,
defaultKioskBookingDurationInMinutes,Defines fixed visit duration for each visitor check-in.,,,,,,
selfCheckinSuccessMessage,Defines success message displayed after visitor self check-in.,,,,,,
Visitor_Profile_ID_Document_Upload_Field_Inputs,Defines allowed document types for visitor upload.,,,,,,
hostNotifications,Controls host notifications (backend property).,,,,,,
creatorNotifications,Controls creator notifications (backend property).,,,,,,
externalNotifications,Controls external notifications (backend property).,,,,,,
digipassAutoSendBuffer,Defines buffer time for sending DigiPass after booking creation.,,,,,,
visitorBulkUploadData,Defines headers and data rules for visitor bulk upload; must comply with profileFieldsMetaData.,,,,,,
cancelInviteMsTeamTemplateForHost,Defines MS Teams template for host when invite is canceled.,,,,,,
enableEmployeeEmailNotification,Enables check-in notifications to employees.,,,,,,
safeReachSecurityTeamContacts,Defines security contacts for Safe Reach Level 1 escalation.,,,,,,
safeReachManualVerificationTrigger,Defines timeout for Safe Reach Level 2 escalation.,,,,,,
safeReachFailedVerificationTrigger,Defines trigger conditions for Safe Reach escalation email.,,,,,,
visitorBulkUploadFields,Defines headers and default values for visitor bulk upload.,,,,,,
ndaCheckboxContent,Defines content displayed below NDA checkbox.,,,,,,
consentCheckboxContentSafeReach,Defines consent checkbox content for Safe Reach kiosk.,,,,,,
approvalFlowEmailExpiryTimeInMinutes,Defines approval email expiry time in minutes.,,,,,,
forms_configurations,Controls belongings configuration for VMS self check-in flow.,,,,,,
kioskInviteOptions,Controls QR-based check-in and check-out options on kiosk.,,,,,,
IsGuestWifiEnabled,Enables or disables Guest Wi-Fi.,,,,,,
formsMetaDataForHost,Controls host-side custom fields in invited flow.,,,,,,
ndaCheckbox,Controls NDA checkbox visibility.,,,,,,
visitDurationHours,Defines dropdown options for visit duration.,,,,,,
isEditEndTimeOnFrontDeskEnabled,Enables editing of invite end time on Front Desk.,,,,,,
visitorCheckoutMsTeamsTemplate,Defines MS Teams template for visitor check-out notification.,,,,,,
checkoutPageRedirectionTimeout,Defines redirection timeout (in minutes) after self check-in completion.,,,,,,
configureVisitorKiosk,Controls visibility of Configure Visitor Kiosk button on Front Desk.,,,,,,
vmsQrCodeTrigger,Controls sending DigiPass and checkout QR via SMS or email.,,,,,,
visitorWidgetEnabled,Controls visibility of VMS widget on Employee Home.,,,,,,
visitorApprovalMsTeamsNotification,Controls visitor approval notification on MS Teams.,,,,,,
isVisitorCheckoutMsTeamsNotificationEnabled,Controls visitor check-out notifications on MS Teams.,,,,,,
visitorProfileFields,Controls visitor profile fields for Walk-in flow.,,,,,,
formsMetaDataForVisitor,Controls visitor-side custom fields in invited flow.,,,,,,
defaultVisitTypeSelection,Controls default selection behavior for Type of Visit field.,,,,,,
sendHostMsTeamsNotificationToDelegate,Controls whether MS Teams notifications are sent to delegate.,,,,,,
sendInviteEmail,"Defines default state of visitor,  host,  and creator email checkboxes.",,,,,,
checkinBufferFromKiosk,Defines buffer time (in minutes) for active booking check-in via kiosk.,,,,,,
isVisitorPhotoCaptureEnabled,Controls whether photo capture is required during self check-in.,,,,,,
printerConnectionModes,Defines available printer connection modes.,,,,,,
allowBookingsForOthers,Allows booking on behalf of others in visitor flow.,,,,,,
enableVisitorParking,Enables parking for visitors (currently not in use).,,,,,,
notesToAdmins,Enables optional notes to admins via email.,,,,,,
noteToFrontDesk,Enables optional notes to receptionist/security via email.,,,,,,
enableConsentCheckboxSafeReach,Enables additional consent checkbox in Safe Reach form.,,,,,,
enableEmployeeMSTeamNotification,Enables MS Teams notifications for employee check-in flow.,,,,,,
enableOTPValidationSelfCheckinList,Enables OTP validation in kiosk self check-in flow.,,,,,,
Print_Visitor_Badge,Enables Print Badge button on Front Desk dashboard.,,,,,,
is2StepCheckInEnabled,Enables 2-step check-in and check-out process.,,,,,,
isTemporaryCheckoutEnabled,Enables temporary checkout option on Front Desk.,,,,,,
triggerSafeReachForFemaleOnly,Triggers Safe Reach for female visitors only.,,,,,,
