Property Name,Description
bookingRequestApprovalFlowEnabled,Controls whether the booking request approval workflow is enabled.,,,,
expiredRequestNotificationEnabled,Controls whether notifications are sent when booking approval requests expire.,,,,
rejectedRequestNotificationEnabled,Controls whether notifications are sent for rejected booking approval requests.,,,,
pendingRequestsNotificationEnabled,Controls whether notifications are sent for pending booking approval requests.,,,,
approvedRequestNotificationEnabled,Controls whether notifications are sent for approved booking approval requests.,,,,
bookingApprovalEmailsEnabled,Controls whether email notifications are sent for booking approvals.,,,,
autoRequestApprovalEnabled,Controls whether booking requests are automatically approved without manual intervention.,,,,
approvalFlowInWfoEnabled,Controls whether the approval workflow is enabled for Work From Office bookings.,,,,
approvalFlowInInWfhEnabled,Controls whether the approval workflow is enabled for Work From Home bookings.,,,,
wfoWeeklyLimit,Defines the maximum number of Work From Office bookings allowed per week.,,,,
wfoMonthlyLimit,Defines the maximum number of Work From Office bookings allowed per month.,,,,
wfhWeeklyLimit,Defines the maximum number of Work From Home bookings allowed per week.,,,,
wfhMonthlyLimit,Defines the maximum number of Work From Home bookings allowed per month.,,,,
tagsEnabled,"Defines the list of enabled booking tags (e.g.WFO,WFH).",,,,
dynamicData,Defines configurable dynamic fields displayed in the booking form.,,,,
forecastingColumns,Defines the column mapping and labels used in forecasting reports.,,,,
seatBookingUrl,Defines the Seat Booking service URL.,,,,
autoExpireBeforeNoOfdays,-,,,,
landingPlanHeaders,-,,,,
expiryNotificationCutOffInMinutes,-,,,,
buidsEnabledForSeatBookingPMS,-,,,,
DynamicData,-,,,,
seatingPlanHeaders,-,,,,
cancelSchedulesEnabled,-,,,,
autoExpireHour,-,,,,
amenitiesBulkUpload,-,,,,
parkingTagHeaders,-,,,,
TEST,-,,,,
seatTagHeaders,-,,,,
employeeTagHeaders,-,,,,
expiryCutOffInMinutes,-,,,,
TestPropertySeatBooking,-,,,,
roomTagHeaders,-,,,,
deskTagHeaders,-,,,,
