
MAXIMUM_DISTANCE_FROM_OFFICE_KM,Multicity distance increase from 100,,,,,,,,,,,,,,,,,,,,,,,,
FEATURE_COST_CENTER_ENABLED,Uncheck to disable cost center from ETS,,,,,,,,,,,,,,,,,,,,,,,,
EMPLOYEE_SPECIAL_NEED_FEATURE_ENABLED,Uncheck to disable special needs from ETS,,,,,,,,,,,,,,,,,,,,,,,,

",",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
EMAIL_BODY_TEXT,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Billing,,Default values,Description,Dhiman,Central Implementation,,,,,,,,,,,,,,,,,,,,
CONTRACT_ISSUE_DEFAULT_MAX_TRIP_KM,Configure the default value of max trip KM this will reflacting in issues page,Values are mentioned by default as soon as a server is created,Default value of Max trip km to be displayed during contract creation,,Max Km provided by the Client for Transportation  as per company policy,,,,,,,,,,,,,,,,,,,,
CONTRACT_ISSUE_DEFAULT_MIN_DUTIES_IN_A_DAY,Configure the default value of minimum duties in a day,,Default value of Minimum duties in day to be displayed during contract creation,,"Min no. of duties to be performed  in a day, dependent on the Client contract(it could be one trip one duty or multiple trip one duty)",,,,,,,,,,,,,,,,,,,,
CONTRACT_ISSUE_DEFAULT_MIN_TRIPS_IN_A_DUTY,Configure the default value of minimum trips in a duty,,Default value of Minimum trips in a duty to be displayed during contract creation,,Min no. of trips to be performed  in a duty eg:1 Trip 1 Duty you will only perform a single trip,,,,,,,,,,,,,,,,,,,,
CONTRACT_ISSUE_DEFAULT_MAX_DUTIES_IN_A_DAY,Configure the default value of max dutis of in day,,Default value of Maximum duties in day to be displayed during contract creation,,Max  no. of duties to be performed in a day,,,,,,,,,,,,,,,,,,,,
CONTRACT_ISSUE_DEFAULT_MIN_DEAD_KM_PERCENT_IN_DUTY,configure the default value of minimum duty dead leg Km % in day,,Default value of minimum dead km percent to be displayed during contract creation for a client,,Min. dead Km approved by the Client for a trip. Based on the contract,,,,,,,,,,,,,,,,,,,,
CONTRACT_ISSUE_DEFAULT_MAX_DEAD_KM_PERCENT_IN_DUTY,configure the default value of minimum duty dead leg Km % in day,,Default value of Maximum dead km percent to be displayed during contract creation for a client,,Max. dead Km approved by the Client for a trip. Based on the contract,,,,,,,,,,,,,,,,,,,,
CONTRACT_ISSUE_DEFAULT_MIN_DUTY_KM,configure the default value minimum duty KM,,Default value of Minimum duty  km to be displayed during contract creation,,Min. km to be performed in a duty per day,,,,,,,,,,,,,,,,,,,,
CONTRACT_ISSUE_DEFAULT_MIN_TRIP_KM,Configure the default value minimum duty KM,,Default value of Minimum trip km to be displayed during contract creation,,Min. km to be performed in a trip per day,,,,,,,,,,,,,,,,,,,,
CONTRACT_ISSUE_DEFAULT_MAX_EMPLOYEES_IN_A_TRIP,Configure the default value of max trip employee,,Default value of Maximum employees to be displayed during contract creation,,Max. no of employee allowed to in a vehicle,,,,,,,,,,,,,,,,,,,,
CONTRACT_ISSUE_DEFAULT_MAX_TRIPS_IN_A_DUTY,Configure the default value of max trip IN a day,,Default value of Maximum trips in a duty to be displayed during contract creation,,Min no. of trips to be performed  in a duty eg:1 Duty multiple trips will have more than one duty performed. We need to define a value in case of this model. ,,,,,,,,,,,,,,,,,,,,
CONTRACT_ISSUE_DEFAULT_MAX_SECONDS_IN_A_DUTY,Configure the default value of max duty seconds in a day,,Default value of Maximum seconds in a duty to be displayed during contract creation,,Default value of Maximum seconds in a duty to be displayed during contract creation,,,,,,,,,,,,,,,,,,,,
CONTRACT_ISSUE_DEFAULT_MIN_SECONDS_IN_A_DUTY,Configure the default value of Minimum seconds in a day,,Default value of Minimum seconds in a duty to be displayed during contract creation,,Default value of Minimum seconds in a duty to be displayed during contract creation,,,,,,,,,,,,,,,,,,,,
CONTRACT_ISSUE_DEFAULT_MAX_DUTY_KM,Configure the default value max duty KM,,Default value of Maximum duty km to be displayed during contract creation,,Default value of Maximum duty km to be displayed during contract creation,,,,,,,,,,,,,,,,,,,,
CONTRACT_ISSUE_DEFAULT_IMPROPER_REPORT_OFF,Configure the default value of improper report off issue,,Default value improper on off duty to be displayed during contract creation for a client,,Default value improper on off duty to be displayed during contract creation for a client,,,,,,,,,,,,,,,,,,,,
