BILLING_SERVICE_TAX,Adds the service tax to billing amount
ADHOC_TRIP_REQUEST_SUBJECT,Email subject to all adhoc request
FEATURE_ADHOC_TRIP_REQUEST,Enables an extra link of ADHOC on the Employee Landing Page
ADHOC_TRIP_REQUEST_CC,CC for all emails triggered
ADHOC_TRIP_REQUEST_RECIEPIENT,Transport Team email to be configured
FEATURE_OTP_REQUEST_LIMIT_PER_DAY,"Limits the OTP for users when ""Forget Password"" link is clicked"
FEATURE_LBR_ENABLED,Always should be NO as the feature is not operational
LEARNING_BASE_ROUTE_TEXT,Not required
CONTACT_SUPPORT_EMAIL_LIST,"Configure the email ID where emails would be triggered when ""Contact Support""link is clicked, should always be ""support@moveinsync.com"""
ASSOCIATE_OFFICE_TO_DRIVER,"If Driver is tagged officewise, details would reflect in the Compliance Page, no other page would segregate the data."
FEATURE_DISABLE_PROFILE_EDIT_PERMISSIONS,"Disable the option of Profile Edit, should not be enabled"
FEATURE_ENABLE_SHOW_PII_DATA,"PII data will be visible to roles, TS to be raised to configure the roles. This is done only for IBM till now"
ENABLE_CAB_RESTRICTION_FOR_TRANSPORT_MANAGER,Transport Manager role would not be able assign cabs if this property is enabled.
INDEMNIFICATION_EMAIL_SIGNATURE_TEAM_NAME,
ALLOW_LOGIN_USING_MOVEINSYNC_DOMAIN,This property should be unchecked alsways so that no email ID with moveinsync.com can be created.
ADJUST_ROUTE_TEXT,Text to be displayed for Adjust route option
ENABLE_USER_TYPES,"This property is used only for infosys,"
SCHEDULE_CHANGE_NOTIFICATION_RESTRICT_SCHEDULE,"This defines the number of days for which employees would be allowed to schedule in the UI, please note Mobile App configurations to be set seperately for the same property"
ISSUE_SUB_CATEGORY,"Define the issue category when Employee uses the ""Contact Transport Team"" option from the bottom of the Employee Landing page"
FEATURE_ENABLE_ESCORT_EMAIL_ID_NON_MANDATORY,This property disables the email  ID requirement for ESCORTS during profile creation of ESCORTS
OFFICE_AUTO_SIGNOFF_RADIUS_MTS,Defines the geofence for office for Auto Signoff during login
ENABLE_NODAL_POINT_TO_OFFICE_MAPPING,#REF!
WOMEN_TRAVELLING_ALONE_ENABLED,This is a security dashboard feature which enables an alert to be triggered if any female emloyee is travelling without a male employee or an escort
FEATURE_ADJUST_ROUTES_ENABLED,This property would adjust all the customs in the route automatically and highlight the adjusted employees for easy identification for the routers
















































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































