Provisioning Home,https://devices.moveinsync.com:8443/device-management-portal/
Clear  Logout
Device Type,Select MotoE Ideos MotoE
Deployment,"Select Apr_23,_2019_11:53:53_AM Concentrix-Ncr DefaultProperties Feb_25,_2019_12:08:43_PM Jan_21,_2019_11:57:11_AM Jan_22,_2019_8:59:14_PM Jul_24,_2019_9:03:05_AM Jun_20,_2019_11:07:52_AM May_13,_2019_5:04:13_PM May_14,_2019_10:58:36_AM May_16,_2019_9:59:02_AM May_3,_2019_5:17:07_PM Nov_20,_2017_3:47:37_PM OraNreblr abc-XYZ abc-efg abinbev-Blr adobe-ABlr adobe-Ncr aig-aaspl aig1-ANcr aig2-ABlr ajuba-Che akamai-ABlr allscripts-AS allscripts-ASVdr amazon-B1Blr amazon-Hyd amazon-SA amazon1-Blrflexi amazon1-C1Che amazon1-Pune amazon2-B2Blr amazon2-Com amazon2-IPune amazon2-Ncr amazon2-Pune amazon3-SA amz-C1Che amz-HYD20 amz-Hyd amz-Ncr amz1-C1Che amz1-Pune amz2-B2Blr amz2-Com amz2-Hyd amz2-Ncr amzn-ZA amzn-ZUAT anz-ABlr atos-AHyd atos-POC1 att-ATT att1-AChe att1-Ncr ax-Pune az-Che bbc-BPOC bnymellon-POC boeing-BBlr bydeluxe-POC ca-Blr ca-Hyd capita-Blr capita1-Pune capita2-Mum capita3-CZA cerner-GTP cerner-MBlr cisco-CBlr citrix-CBlr citrix1-Sales concentrix-Blr concentrix-CBlr concentrix-CPune concentrix1-GGN concentrix1-Ncr concentrix1-PSNBlr concentrix3-CHyd concentrix3-CKol concentrix3-CViz concentrix4-NCBlr concentrix4-NCGGN concentrix4-NCHyd credencerm-CPune cs-Mum cs-PSNBlr cs1-CsnxPune cs2-EonPune csuat-EonPune cvent-CNcr cvent-POC danfoss-DChe db-BlrVtp db-Jai db-Mum db-Ncr db-Pune dbs-DPOC dbuat-AB2 dbuat-BlrVtp dbuat-IIBlr dbuat-MIS dbuat-NCBlr dbuat-OMantri dbuat-Pune dbuat-UAT deepranalytics-DNcr deluxe-DBlr demo-AIG demo-CA demo-ETS demo-FADV demo-FChe demo-IJP demo-SAP demo1-Demo7 demo1-DemoV7 demo2-EEE dxc-DBlr dxc-DChe dxc-DHyd dxc-DNcr dxcshell-DBlr ellucian-Blr emc-EMCBlr emc-GBlr emc1-Pune ensono-EBlr ensono-EChe ensono-EPune ensono-Ensono eurofins-EBlr exl-UAT exxonmobil-EBlr facebook-Hyd facebook-Mum facebook-Ncr fadv-Blr fico-FBlr fico-Pune fico1-FMum fidelity-BlrEGL fidelity-BlrMTP fidelity-FChe fidelity-NPOC fis-FPune fis-poc fisi-bpoc frontizo-FBlr gchariot2-GBlr gchariot2-GLxHyd gchariot2-GLxVBlr gchariot2-GVHyd gchariot2-GVMum gchariot2-GVNcr gedigital-GBlr genmills-Mum globiva-GNcr globiva-GPOC goc-GocHyd gs-Blruat gs-GBlr gs-UAT gs-UAT1 gs2-UAT hbc-HBlr hcl1-NPOC hsbc-B1Blr hsbc-B2Blr hsbc-B3Blr hsbc-Blr hsbc-Kol hsbc-Viz hsbc1-B6Blr hsbc1-Che hsbc1-Hyd hsbc1-Hyderabad hsbc1-IMum hsbc1-INcr hsbc1-Ncr hsbc3-B5Blr hsbc3-GLTHyd hsbc3-PNQ hsbc3-Pune hsbc4-Col htmedia-Npoc ibm-IBlr ibm-IKol ibm-INcr ibm-IViz ibm1-UATBlr ibm1-UATChe ibm1-UATHyd ibm1-UATMum ibm1-UATNcr ibm2-IChe ibm2-IHyd ibm2-IMum ibm2-IPune ims-POC infosys-CHD infosys-Che infosys-IBlr infosys-JPBlr infosys-Trv infosys1-EZMlr infosys1-Jai infosys1-Msr infosys1-SEZMlr infosys1-Tril infosys2-ABhu infosys2-GGN infosys2-GHyd infosys2-IBhu infosys2-MHyd infosys2-PHyd infosys3-CJB infosys3-MQ introlligent-IBlr iqvia-IPOC isyssoftech-IJai ivycomptech-IHyd jcpenney-Blr jindal-Ncr jpmc-Blr jpmc-Hyd jpmc-MumMS jpmc-MumPow jpmcuat-JPOC kaseya-PSNBlr kpmg-Ncr kpmg1-Spotncr linkedin-Blr linkedin-LMum linkedin-Ncr lnt-LBlr mast-MBlr mckinsey-CBlr mckinsey-Che mckinsey-Ncr mckinsey1-spotmum mckinsey1-spotncr mckinsey1-spotrental medline- medline-MPune mercedes-Blr microland-Blr microsoft-Hyd microsoft-MSBlr microsoft-MSNcr mindtree-mpoc mis-Global mis-MIS mis-MISNcr ms-Blr ms-Mum nagarro-Ncr netapp-Blr netapp-CBlr new-test nokia-ChePOC nomura-Mum novartis-NPOC nttd-Blr nttd-Che nttd-Com nttd-Ncr nutanix-NBlr oath-OBlr oracle-MantriBlr oracle-OTHBLR oracle-OTPBlr oracle-PBCBlr oracle-PTPBlr oracle-Trv oracle1-IBCBlr oracle1-KBlr oracle1-KMBlr oracle1-LexBlr oracle2-H1Hyd oracle2-KriBlr oracle2-Ncr oracle2-VelBlr osb-OSBlr pegasystems-PBlr pegasystems-PHyd performance-MIS pfs-PBlr pfs-PPOC poc-AIG preprod-Test preprod-Test1 preprod-Test2 preprod-Test3 preprod-TestV1 preprod1-Test preprod1-Test1 preprod1-Test2 preprod1-Test3 preprod1-Test4 preprod1-TestV1 prione-Blr pyramidci-PPOC quest-Quest qx-Amd r1rcm-RNcr release-Test1 rideinsync-blr rrd-poc salesforce-SHyd sap-SBlr scb-SBlr scb-SChe scbuat-SChe servicenow-SHyd slb-Barmer slb-M1Mum slb-NE slk-Pune socgen-Blr socgen-CHN socgen1-IBlr spectraforce-SChd svb-SBlr synchronyfinancial-SyncHyd synopsys-Blr synopsys-Hyd synopsys1-Ncr t2s-Che test-ETS test-test thryvedigital-TChe thryvedigital-THyd trafigura-POC training-Test uat-Blr uat-DMum uat-HNcr uat-MNcr uat-Nomura uat-gblr uat1-ATTBlr uat2-HHyd uat2-NBlr ubs-PNQ ubs-POC1 ubs1-UHyd uhg-POC unisys-Hyd unisys-Hyderabad utc-Blr vapt1-MIS vayudoot-Hyd vayudoot-NcrV veritas1-VPune verizon-Che verizon-Hyd verizon-VBlr vgi-Che vgi-VBlr vgi1-GFAChe vgi1-Trv virtusa-VPOC vmware-Pune vmware-VBlr walmart-GGN walmart-Test walmart-WBlr wellsfargo-WChe wellsfargo-WFBlr wellsfargo-WFHyd wipro-CJB wipro-Ncr wipro-Pune wipro-STR wipro1-COK wipro1-CheCDC2n5 wipro1-CheCDC3 wipro1-CheCDC7 wipro2-Gdc wipro2-Gndc wipro2-Hyd wipro2-HydMan wipro2-Kol wipro3-BlrEC wipro3-BlrPTP wipro3-BlrSJP wipro3-BlrWFH wipro3-MYQ wipro4-Bhu wipro4-MumAir wipro4-MumBel wipro4-MumPow wipro4-VTZ xerox-XBlr zycus-Mum Apr_23,_2019_11:53:53_AM"
""
OR
Create New Deployment
Business Properties
Property,Description,Default Value,New Value
MULTI_OFFICE_PROVISIONING_ENABLED_ON_ETS,Multi-office enabled on ETS,False,True
IS_TRIP_END_ALLOWED,Allow auto-signoff in login trips,True,True
SIGN_OFF_COMPLIANCE,Ask user for id-confirmation when signing off,True,True
IS_FORCE_TRIP_END_ALLOWED,"Show ""End Trip"" button while trip is in progress",False,False
SHOW_TIME_ON_SCREEN,Show trip/duty duration on screen,True,True
AUDIO_ALERT_EMERGENCY_GESTURE_MESSAGE,Voice message to play when employee sign in,"""Welcome. Aboard. Please. Wear. Seat. Belt""","""Welcome. Aboard. Please. Wear. Seat. Belt"""
TRIP_EXPIRY_BUFFER,Duration in seconds after which the tripsheet expires after the planned end time,900.0,900.0
SHOW_SPEED_ON_SCREEN,Show speed on screen,True,True
LOGIN_TRIP_OVER_DISTANCE,Distance in meters from office to end the trip during auto-signoff,75.0,50.0
TRIP_SPEED_LIMIT_IN_KM_HR,Speed in KMPH to raise overspeeding alert during trip leg,60.0,60.0
SHOW_DISTANCE_ON_SCREEN,Show trip/duty distance on screen,False,False
MANDATORY_TRIP_BUFFER_PERIOD,Duration in seconds before the planned trip start time to show the tripsheet,1800.0,1800.0
FEATURE_ADHOC_LOGIN_ALLOWED,Allow guest login (login with 0000),False,False
SERVER_URL,Server URL,https://concentrix4.moveinsync.com:8443/NCBlr/,url
FEATURE_DRIVER_HISTORY_ENABLED,Driver history icon to be visible,True,False
FEATURE_GOOGLE_NAVIGATION_ENABLED,Google turn by turn navigation icon to be visible on tripsheet,True,True
FEATURE_ADHOC_ICON_VISIBLE,#ERROR!,False,False
ALPHANUMERIC_EMPLOYEE_ID_VALIDATION,Alphanumeric employee id is allowed,False,False
DRIVER_ALLOWED_TO_SIGNOFF_EMPLOYEE,Can driver signoff a signed in employee,True,False
END_DUTY_AFTER_TRIP_MESSAGE,Message to display when duty screen is blocked after first trip,"""Only one trip allowed per duty. Please end duty and start new duty""","""Only one trip allowed per duty. Please end duty and start new duty"""
ONLY_ONE_TRIP_ALLOWED_PER_DUTY,Whether or not to block the screen after one trip in a duty,False,True
FEATURE_NO_SHOW_EMPLOYEE_ENABLE,Whether or not driver allowed to mark an employee No-Show(require Jan1'16 on ETS),False,True
DRIVER_TO_EMPLOYEE_CALLING_ENABLED,Whether or not ClickToCall feature is available(has to be enabled on ETS also),False,True
BLUETOOTH_RFID_READER_CONFIGURED,Whether or not RFID provisioning is enabled(check with ENGG team before enabling),False,False
ALLOW_ADHOC_SIGNIN_ON_PLANNED_TRIP,Enable this to allow Adhoc signin on planned trip only when ADHOC feature is disabled,True,False
FEATURE_CAB_ARRIVED,Enable this to allow driver to initiate cab arrived flow,True,??
CAB_ARRIVED_WAITING_TIME_IN_MINUTES,Cab waiting time at each employee before raising cab left event,5.0,5.0
CANCEL_CODE_REQUIRED_FOR_FORCE_TRIP_END,If this is enabled Force Trip end will require cancel code from THD team,False,True
PEOPLE_ALLOWED_TO_START_ADHOC_TRIP,"Who are all allowed to start an adhoc trip (EMPLOYEE, GUEST, ESCORT)",,"employee,escort"
PEOPLE_ALLOWED_TO_SIGN_IN_ON_ADHOC_TRIP,"Who are all allowed to signin on adhoc trip(EMPLOYEE, GUEST, ESCORT)",,"employee,escort"
PEOPLE_ALLOWED_TO_SIGN_IN_ON_PLANNED_TRIP,Who are all allowed to signin adhoc on planned trip,"EMPLOYEE,ESCORT","employee,escort"
SIGN_IN_USING_ALIAS_ALLOWED,Whether or not an employee is allowed to signin using alias,False,??
USE_TRIP_DISPLAY_BUFFER_FROM_TRIPSHEET,Whether or not to read trip display buffer from tripsheet,False,??
AIRPORT_ALLOWED_IN_ADHOC_DESTINATIONS,Whether or not to show airport in adhoc destinations,True,na
OTHERS_ALLOWED_IN_ADHOC_DESTINATIONS,Whether or not to show others in adhoc destinations,True,??
FEATURE_FORCE_DISABLE_NODAL_POINT,Hack for Verizon. Keep it false for all others,False,False
ALLOW_EMPLOYEE_SIGNIN_THROUGH_APP,Whether or not to allow employees to sign in on device from their mobile app,False,False
FEATURE_EMPLOYEE_PIN_VERIFICATION_ENABLED,Whether or not to force employee to use PIN for signin/signoff,False,True
FEATURE_AUDIO_ALERT_ON_SIGN_OFF,Whether or not to give a voice alert on signoff,False,true false
FEATURE_AUDIO_ALERT_ON_SIGN_OFF_GESTURE_MESSAGE,Message to speak when employee signoff,"""Thanks for travelling with us""",
FEATURE_DEAD_LEG_NAVIGATION_ENABLED,Enable to allow driver to navigate back to office,False,True
FEATURE_ENFORCE_ESCORT_FIRST_SIGNIN,Force escort signin before any employee if trip requires escort,False,True
FEATURE_ENFORCE_ESCORT_LAST_SIGNOFF,Force disable escort signoff till all employees signoff from trip,False,true false
DONT_AUTO_SIGNOFF_ESCORT,Enable this to avoid escort autosignoff. He will have to signoff manually always,False,True
DISABLE_PIN_VERIFICATION_FOR_ESCORT,Enable this to avoid asking escort for pin for signin,False,true false
ALLOW_ZERO_TRIP_DUTIES,Should we allow driver to end duty even without doing at least one trip,False,False
FEATURE_ADHOC_SEQUENCING_ENABLED,To get adhoc employee drop sequence from server. ETS upgrade required,True,true false
FEATURE_REBOOT_DEVICE_ON_TRIP_END,DONT ENABLE THIS WITHOUT DISCUSSING WITH TECH TEAM,False,??
WAIT_TIME_SECS_BEFORE_REBOOT_AFTER_TRIP_END,Waiting time before rebooting after trip end,86400.0,??
OFFICE_VICINITY_METERS,Office radius in meters to show warning alert for Driver ending/starting duty outside geofence,500.0,300mtrs
BLOCK_IMMEDIATE_EMPLOYEE_SIGNOFF,Whether or not to block immediate employee signoff,True,true false
BLOCKING_TIME_FOR_IMMEDIATE_EMPLOYEE_SIGNOFF,Time in seconds for which we need to block employee signoff after signin,120.0,300.0
FEATURE_ALLOW_MULTIPLE_ESCORT_SIGNIN,Whether or not to allow multiple escorts to signin in a trip,False,False
FEATURE_ENABLE_TRAINING_VIDEO,Whether or not to show training video feature,False,true false
FEATURE_AVOID_TOLLS_IN_GOOGLE_MAPS,Whether or not to avoid tolls while navigating on map,True,True
FEATURE_SHOW_ESCORT_ICON_ONLY_WHEN_TRIP_REQUIRED_ESCORT,Whether or not show escort icon only when trip requires an escort,False,True
ESCORT_OR_MALE_PASSENGER_SIGNIN_ON_FEMALE_CONSTRAINT_TRIPS,Allow male employees to signin on marshal required trip before marshal signin,False,True
FEATURE_DRIVER_ALERTING_ENABLED,Whether or not driver alerting is enabled,True,true false
DRIVER_ALERT_MESSAGE_START_TIME_MINUTE_OF_DAY,Start time - minute of day when alert message should start,1320.0,
DRIVER_ALERT_MESSAGE_END_TIME_MINUTE_OF_DAY,End time - minute of day when alert message should stop,360.0,
DRIVER_ALERT_MESSAGE_REPEAT_INTERVAL_SECS,At what frequency (in seconds) driver should be alerted,300.0,
DRIVER_ALERT_MESSAGE_TEXT,Alert message text,"""Dear driver. Please stay alert""",
