ETS:(Raise SE Ticket),,,,,,,,,,>>

Scheduling,"No.of days required to schedule 30,60 or 90days on ETS tool",,,,,,30 days,,,Scheduling>>30 days
Call to Employee,"On driver app ""Ca;; employees"" options request",Masked contact on login or logout or male or female or both request,,,,,YES,,,Call to Employee>>YES
Call to IVR ,People using basic mobiles,"Call driver 1, Call THD press 2 Call for tracking press 3",,,,,YES,,,Call to IVR >>YES
Female drop verification,,,,,,,YES,,,Female drop verification>>YES
New security dashboard,,,,,,,YES,,,New security dashboard>>YES
BI dashboard under business analytics,,,,,,,YES,,,BI dashboard under business analytics>>YES
Disable shuttle in case not required,,,,,,,disable shuttle,,,Disable shuttle in case not required>>disable shuttle
Nodal or home drop,In case of both based on shift timing; Configure in manage shifts,,,,,,BOTH are required,,,Nodal or home drop>>BOTH are required
BCP backup email configuration,Client email for sending backup email,,,,,,TRANSPORT BLR
Downtime email,Raise a SE request  with Client email,,,,,,SURESH AND ABHI
Logo on ETS ,Raise a TO ticket with Logo of client
Logo on mobile app,Raise a SE ticket


























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































