Employee Mobile App configuration:(Raise SE Ticket)
https://docs.google.com/spreadsheets/d/1yMIho5DBqHFYUidFsjMMckr7WRTIvb9hvXFlbDi4WM4/edit?ts=5f69caa8#gid=782189815,,,>>,Default properties check this
Employee Mobile App configuration for VEE technology,Features
Schedule Edit,True,,Schedule Edit>>TRUE
Schedule cancel,True,,Schedule cancel>>TRUE
Schedule max Days,90days,,Schedule max Days>>90days
Cancellation max Days,90days,,Cancellation max Days>>90days
Bulk Scheduling( From & To Date),True,,Bulk Scheduling( From & To Date)>>TRUE
Employee Tracking: True/False,True,,Employee Tracking: True/False>>TRUE
SOS Alert: True/ False,True,,SOS Alert: True/ False>>TRUE
My Address,True,,My Address>>TRUE
Call Driver(Direct call to driver from employee mobile App where the employee number will be masked),True,,Call Driver(Direct call to driver from employee mobile App where the employee number will be masked)>>TRUE
Call THD(Direct call to transport helpdesk team  from employee mobile App where the employee number will be masked),True,,Call THD(Direct call to transport helpdesk team  from employee mobile App where the employee number will be masked)>>TRUE
Adhoc shift button visibility,False,,Adhoc shift button visibility>>FALSE
Multi office visibility,False,,Multi office visibility>>FALSE
Trip Feedback,True,,Trip Feedback>>TRUE
Notification,True,,Notification>>TRUE
Employee Profile,True,,Employee Profile>>TRUE
Opt-in,False,,Opt-in>>FALSE
indemnification Enabled,False,,indemnification Enabled>>FALSE
Contact Travel Desk for General feedback,True,,Contact Travel Desk for General feedback>>TRUE
Shift Pairing,False,,Shift Pairing>>FALSE
Additional Shift,False,,Additional Shift>>FALSE
Drop verification by App,False,,Drop verification by App>>FALSE
SMS/App OTP login request here : https://docs.google.com/forms/d/e/1FAIpQLSdZUYnpeZohOgp4Uo4MR6Uv_wYudBVU9zEDjQmCn-thum0bWA/viewform,OTP,,SMS/App OTP login request here : https://docs.google.com/forms/d/e/1FAIpQLSdZUYnpeZohOgp4Uo4MR6Uv_wYudBVU9zEDjQmCn-thum0bWA/viewform>>OTP















































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































