Login,Schedule edit,Schedule adhoc,Schedule cancel,Schedule No show,,,,Login,Schedule edit,Schedule adhoc,Schedule cancel

06:00:00,2hrs prior,1hr,1.5hrs,1.5hrs,,,,06:00:00,2hrs prior,1hr,1.5hrs
17:15:00,2hrs prior,1hr,1.5hrs,1.5hrs,,,,17:15:00,2hrs prior,1hr,1.5hrs
18:30:00,2hrs prior,1hr,1.5hrs,1.5hrs,,,,18:30:00,2hrs prior,1hr,1.5hrs
19:15:00,2hrs prior,1hr,1.5hrs,1.5hrs,,,,19:15:00,2hrs prior,1hr,1.5hrs

Logout,,,,,,,,Logout

00:00:00,2hrs prior,1hr,1.5hrs,1.5hrs,,,,00:00:00,2hrs prior,1hr,1.5hrs
02:30:00,2hrs prior,1hr,1.5hrs,1.5hrs,,,,02:30:00,2hrs prior,1hr,1.5hrs
03:30:00,2hrs prior,1hr,1.5hrs,1.5hrs,,,,03:30:00,2hrs prior,1hr,1.5hrs
04:30:00,2hrs prior,1hr,1.5hrs,1.5hrs,,,,04:30:00,2hrs prior,1hr,1.5hrs



























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































