Client Name,AnkoGCC,Ops Study Doc,,,,,
Implementation Rep,Anurag Yaparla,Ops Configs,,,,,
No of users:,500.0,,,,,,
Decision Maker,Rajganesh & Sunil,,,,,,
POC contact number,Nageshraju: 9964056895 Facilities Manager,,,,,,
Their Organization Workflow,Desk Management + Meal Management,,,,,,
Key Pain Areas from previous system,Using Pro TMS for employee commute,,,,,,
Data migration,N/A,,,,,,
Promises/enhancements on features promised in demo,"Reports Customization, Email Templates",,,,,,
Timelines to setup & Go-Live,(3/4 Weeks),,,,,,
,,,,`,,,
,,,,,,,
Level 1,Level 2,Level 3,Status,Reason if not required,Comments if any,"Path (JIRA Ticket, Config Value etc)",
Integrations,Employee onboarding,SCIM,Completed,,,,
,SSO Integration,Azure AD,Completed,,,,
,Access card integration,"Gallagher,Speedgates etc",Not required,,,,
,Sign-In preference,Geofence check-in (+ mode),Completed,Direct Checkin,,,
,,Attendance Tracking,Not required,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Desk Management,Floor Plan PDF,Completed,,,,
,,Nomenclature/Seat Numbering,Completed,,,,
,,Office and Floor Name,Completed,,,,
,,Wayfinding Deployment,Not required,,,,
,,Geo Restrictions,Not required,,,,
,,Geocode,Completed,,,,
,,Shifts Creation,Completed,,,,
,,Shift Categories,Completed,,,,
,,Desk Allocation,Completed,,,,
,,Remote Bookings,Not required,,,,
,,,,,,,
,,,,,,,
,(Global and organizational settings),,Completed,,,,
General Setup,,Company logo configuration,Completed,,,,
,,Users & Roles Creation along with mobile access,Completed,,,,
,,Hierarchy & Team Creation,Completed,,,,
,,Global Booking Policies,Completed,,,,
,,Schedule Edit Cutoff,Completed,,24.0,,
,,Schedule Cancel Cutoff,Completed,,24.0,,
,,Booking Logout Cutoff,Completed,,24.0,,
,,Booking Edit Cutoff,Completed,,24.0,,
,,No Show Policy,Not required,,,,
,,Desk Auto Release,Not required,,,,
,,Auto Absent,Not required,,,,
,,Auto Absent Timing,Not required,,,,
,,Advance Booking Restriction,Completed,,9 days,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Template Customization,,,,,,
,,,,,,,
Please configure the below to drive usage of the account as per the flow of the account:,Reports,,Completed,,,,
,Other Features:,,Completed,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Trainings:,,,,,,,
,Desk Management Best Practices (Admin),,,,,,
,,Primary Method of Allocation,Completed,,,,
,,Editing Allocation,Completed,,,,
,,Time Based Allocation,Not required,,,,
,,Desk Tags,Not required,,,,
,,Bulk Uploads(Specify which ones),Completed,,,,
,,,,,,,
,,,,,,,
,Booking Best Practices (User),Search for Employee,Completed,,,,
,,Wayfinding,Not required,Not part of scope,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Meal Management Best Practices (Admin),,,,,,
,,Meal configuration,Completed,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Email templates:,,,,,,,
,Q&A 1,,Completed,,,,
,Q&A 2,,Completed,,,,
,,,,,,,
Important points to be noted while handing over the client to customer success team:,,,,,,,
,,,,,,,
Issues provided by the client from the time of implementation to hand-over,,,,,,,
Requirements provided while onboarding (mark in green if this requirement is completed. If not red if not completed/cannot implement it and yelllow if pending/taken as requirement),,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
