Property Name,Data Type,Description
MEETING_ROOM_ENABLED,BOOLEAN,Enables the Meeting Room option under Team Manager Dashboard.
UPCOMING_VISITOR,BOOLEAN,Enables Visitor Management.
ENABLE_MIS,BOOLEAN,Enables the switch to ETS option in the sidenav for a specific role.
RESOURCE_APPROVALS_PAGE,BOOLEAN,For approval Workflow
BOOKING_APPROVAL,BOOLEAN,Enables the Booking Approval page.
RESOURCE_REQUESTS_PAGE,BOOLEAN,booking request page
Analytics,LIST,Enables the Reporting page.
SUPPORT USER VIEW,LIST,Configures Support-SSO (mistm) role access.
EMPLOYEES_ENABLED,BOOLEAN,Enables the People > Employees page.
SAFE_REACH_ENABLED,BOOLEAN,Enables the Safe Reach dashboard in the WIS sidenav.
employee,LIST,Configures ETS Employee role access.
BULK_OPERATION_VISITOR_BOOKING,BOOLEAN,Enables bulk upload of visitor lists on the Invite Visitor page.
CATERING_AUDIT_HISTORY,BOOLEAN,Enables audit history for Catering Orders.
WORKSPACE_MANAGER,LIST,Configures Workspace Manager role access.
GLOBAL ADMIN,LIST,Configures Global Admin role access.
SEAT_UTILIZATION_ENABLED,BOOLEAN,Enables the Desk Utilization option in Seat Management.
team_manager,LIST,Configures Team Manager role access.
admin,LIST,Configures Admin role access.
Workspace Manager,LIST,Configures Workspace Manager role access.
ENABLE_MEETING_CATERING,BOOLEAN,Enables catering requests option for meeting room bookings.
transportmanager-nobilling,LIST,Configures Transport Manager (No Billing) role access.
SEAT_AUTO_ALLOCATION,BOOLEAN,Enables Desk Auto Allocation.
ANALYTICS,LIST,Enables the Reports page in the sidenav.
ROOM_TAGGING_ENABLED,BOOLEAN,Enables the Room Tagging option on the Bulk Operations page.
SEAT_MANAGEMENT_ENABLED,BOOLEAN,Enables the Seat Bookings option under Team Manager Dashboard.
transportmgr,LIST,Configures Transport Manager role access.
SEAT_FORECASTING_ENABLED,BOOLEAN,To enable Desk Forecasting Feature
IMPLEMENTATION_HEAD,LIST,Configures Implementation Head role access.
ENABLE_TAG_MANAGEMENT,BOOLEAN,Activates self-service Tag Management module on sidenav.
projectmgr,LIST,Configures Project Manager role access.
SETTINGS_ENABLED,BOOLEAN,Enables the Settings option in the sidenav with Configurations and Roles & User Groups pages.
SUPPORT USER EDIT,LIST,Configures Support-SSO (mistm) role access.
RECENT_ACTIVITY_ENABLED_FOR_ADMIN,BOOLEAN,Enables Recent Activity on the Admin Dashboard.
