Property Name,Data Type,Description
HideStartMeetingButton,BOOLEAN,Controls visibility of the Start Meeting button on the Meeting Room Kiosk.
roomWithApprovalBuidLevel,BOOLEAN,Enables meeting room approval workflow at BUID level.
MEETING_EMAIL_OTP_TO_AUTHENTICATE,BOOLEAN,Controls the OTP notifcation send via email to verify end or cancellation of meeting bookings via meeting room kiosk
MEETING_ROOM_RELEASE_IF_NO_CHECKIN,INTEGER,Releases room if check-in does not occur within configured minutes.
MEETING_START_NOTIFICATION,INTEGER,Controls the notification sent when the meeting has started via meeting room kiosk
MEETING_END_NOTIFICATION,INTEGER,Controls the notification sent when the meeting has ended via meeting room kiosk
RELEASE_MEETING_ROOM,BOOLEAN,"Controls the auto-release logic for rooms, based on the other MR configs (especially MEETING_ROOM_RELEASE_IF_NO_CHECKIN)."
SHOW_UPCOMING_BOOKINGS_TIME,INTEGER,Meeting Rooms Kiosk - Defines how prior to the meeting start time the kiosk screen will turn yellow to let users checkin to their booking. Value set in minutes
CONSENT_TYPE,STRING,Defines consent type configuration at admin or user level.
CANCEL_EVENT_PIN_VERIFICATION_ENABLE,BOOLEAN,Enables secure cancellation or ending of meetings via meeting room kiosk using OTP verification.
ENABLE_WITH_PRINCIPAL_NAME,BOOLEAN,Uses email prefix as visitor name when name is unavailable.
AD_HOC_MEETING,INTEGER,Enables auto check-in for room bookings within this defined window - this value is set in minutes.
showWisLogo,BOOLEAN,Toggles display of the MoveInSync logo on meeting room kiosk and calendar integration UIs
MULTI_DOMAIN,BOOLEAN,Controls multiple domains in a single BUID (for clients like MAF)
mealMailList,STRING,Defines email recipients for catering-related communications.
SEND_INVITE_TO_ALL_EMPLOYEES,BOOLEAN,Controls recipients of native meeting room booking emails.
ENABLE_MEETING_CATERING,BOOLEAN,"Catering workflow - Enables catering functionality in meeting rooms, to see the Catering Request option in room booking form."
Create_Meeting_Room,BOOLEAN,Controls visibility of the Create Room button in the Meeting Rooms settings page.
kioskDefaultImage,STRING,Defines the default image displayed on kiosks across the BUID.
EnableMRMailCancel,BOOLEAN,Sends mail over email when meeting room cancellation is triggered via kiosk to the organiser
HideMeetingTitle,BOOLEAN,Controls visibility of the meeting title sendRoomBookingEmailToAllParticipants
HideOrganizerName,BOOLEAN,Controls visibility of the organizer name on the Meeting Rooms Kiosk screen
HideEndButton,BOOLEAN,Controls visibility of the End Now button on the Meeting Rooms Kiosk screen
HideCancelButton,BOOLEAN,Controls visibility of the Cancel button on the Meeting Room Kiosk at room level.
HideCheckInButton,BOOLEAN,Controls visibility of the check-in button on the Meeting Rooms Kiosk screen
HideExtendButton,BOOLEAN,Controls visibility of the Extend on the Meeting Rooms Kiosk screen
EnableMROTPCancel,BOOLEAN,Controls OTP verification over email when meeting room cancellation is triggered via kiosk to the organiser
BULK_UPLOAD_ENABLED,BOOLEAN,Enables the room bulk upload option in the Meeting Rooms Settings page
SyncMeetingRooms,BOOLEAN,Enables the Sync Rooms button for integrated setups in the Meeting Room Settings page
CREATE_PREMISE_IF_IT_DOESNT_EXIST,BOOLEAN,"Allows the system in creation of premise, if premise does not exist"
ENABLE_AUTO_MEETING_ROOM_SYNC,BOOLEAN,Automatically runs meeting room sync when enabled.
OFFICE_PREMISE_NAME,STRING,Defines the office mapping for meeting room via meeting room sync.
BUILDING_PREMISE_NAME,STRING,"On stratus sites, it controls the name of the entity on outlook"
FLOOR_PREMISE_NAME,STRING,-
IS_RICHEMONT,BOOLEAN,Enables Richemont-specific workflow configurations.
MEETING_ROOM_SYNC_JOB_EMAIL_LIST,LIST,Defines email recipients for meeting room sync job notifications.
endHour,INTEGER,"This configuration defines the end time of the bookable time in the meeting rooms timeline - room level configuration. Integer value, 0-24."
beginHour,INTEGER,"This configuration defines the begin time of the bookable time in the meeting rooms timeline - room level configuration. Integer value, 0-24."
weekdays,LIST,Defines the set of days considered working days for that office's rooms
advanceBookingLimitInMinutes,INTEGER,Controls the window of advance booking for users to make room bookings
maxDurationInMinutes,INTEGER,Defines maximum duration for meeting room bookings.
meetingStartTimeCuttoffInMinutes,INTEGER,Defines the cutoff for how much prior to that start time the booking can be created. Its a booking creation cutoff time. Value is in minutes.
rommEnabled,BOOLEAN,Controls the enablement of the room for booking
Room_As_Organizer,BOOLEAN,Controls the enablement of the room as organiser workflow for the meeting room kiosk
enableCheckInForMeetingRoom,BOOLEAN,Enables meeting room check-in button on the web and app.
maxApprovalRequest,INTEGER,For resource approval workflow - defines maximum overlapping approval requests per user.
RELEASE_ROOM_CANCEL_MEETING,BOOLEAN,Controls whether releasing a room also cancels the meeting from users calendars.
roomWithApproval,BOOLEAN,Enables approval workflow for meeting rooms on web and mobile.
INVITE_VISITOR_ROOMS,BOOLEAN,Enables Invite Visitor tab within the Meeting Rooms Outlook Add-in.
showOrganiserNameAddInTimeline,BOOLEAN,Show organizer name on booking timeline on outlook addin
MEETING_ROOM_SUBSCRIPTION_JOB_EMAIL_LIST,LIST,Defines email recipients for room subscription status.
smartRoomRecommendation,BOOLEAN,Enables AI-based smart room recommendation.
minDurationInMinutes,INTEGER,Defines minimum duration need for a meeting room booking.
WEIGHT_HISTORICAL,DOUBLE,Defines weight configuration for AI room recommendation based on historical usage.
WEIGHT_CAPACITY,DOUBLE,Defines weight configuration for AI room recommendation based on capacity.
roomStatsKiosk,BOOLEAN,Controls the visibility of the checkout button against room bookings. Not dependent on checkin button.
OutlookNativeRoomSetup,BOOLEAN,Hybrid setup for outlook integration
meetingRoomCost,BOOLEAN,Controls display of meeting room cost in the UI for web and mobile view.
organiserPersonaMeetingRooms,JSON,Controls email notifications for organizer persona in Meeting Rooms module.
participantPersonaMeetingRooms,JSON,Controls email notifications for participant personas in the Meeting Rooms module.
itemsDynamicFields,LIST,dynamic fields for IT Request
startTimeBufferRoomBookingBuidLevel,BOOLEAN,Defines start time buffer for meeting room bookings at BUID level for the Buffer Time workflow in catering/IT request.
endTimeBufferRoomBookingBuidLevel,BOOLEAN,Defines end time buffer for meeting room bookings at BUID level for the Buffer Time workflow in catering/IT request.
dynamicFieldOnRooms,BOOLEAN,Displays dynamic fields during meeting room creation - i.e Meeting Rooms request section
startTimeBufferRoomBookingRoomLevel,INTEGER,Defines start time buffer at individual room level.
DEACTIVATION_TYPE,STRING,Control the action of deactivation of meeting room
otherUsersPersonaMeetingRooms,JSON,Controls email notifications for other participant personas in Meeting Rooms module.
