Property Name,Data Type,Description
employeeDeactivationEmailSubject,STRING,-
MONTH_END_NO_SHOW_ACTION_EMAIL_SUBJECT,STRING,-
NO_SHOW_ACTION_EMAIL_AT_MONTH_END_SUBJECT,STRING,-
MONTH_END_NO_SHOW_ACTION_EMAIL,STRING,-
MONTH_END_NO_SHOW_SCHEDULE_EDIT_PERMISSION_REVOKED_TITLE,STRING,-
MONTH_END_NO_SHOW_FUTURE_SCHEDULES_REMOVED_TITLE,STRING,-
SEAT_ALLOCATION_COMMUNICATION_BODY,STRING,Allocation details email body HTML.
MONTH_END_NO_SHOW_SCHEDULE_EDIT_PERMISSION_REVOKED_MESSAGE,STRING,-
SEAT_ALLOCATION_COMMUNICATION_HEADER,STRING,Allocation details email subject.
MONTH_END_NO_SHOW_FUTURE_SCHEDULE_REMOVED_MESSAGE,STRING,-
recurringBookingCreatorCreateTemplate,STRING,Template for work planner recurring booking creation email.
noShowActionAtMonthEndBannerMessage,STRING,-
recurringBookingCreatorUpdateTemplate,STRING,Template for recurring workplanner booking update email.
NO_SHOW_ACTION_AT_MONTH_END_BANNER_MESSAGE,STRING,-
recurringBookingCreatorCancelTemplate,STRING,Template for recurring booking cancel email for creator.
MASS_MAIL_SENDER_LIST,STRING,Mass mail sender list.
ssoExpiryFollowUpEmailHeaderTemplate,STRING,-
NO_SHOW_POLICY_RE_INSTANTIATION_EMAIL,STRING,-
SPECIAL_SCHEDULE_TITLE_TEMPLATE,STRING,-
ssoExpiryEmailHeaderTemplate,STRING,-
SPECIAL_SCHEDULE_MESSAGE_TEMPLATE,STRING,-
LOGOUT_SCHEDULE_CANCELLATION,STRING,-
NO_SHOW_AUTO_APPROVAL_SUBJECT,STRING,-
NO_SHOW_WARNING_EMAIL_SUBJECT,STRING,-
NO_SHOW_ACTION_EMAIL_FUTURE_SCHEDULE_REMOVAL_SUBJECT,STRING,-
NO_SHOW_ACTION_EMAIL_FUTURE_SCHEDULE_REMOVAL_AND_SCHEDULE_EDIT_REVOKED_SUBJECT,STRING,-
NO_SHOW_ACTION_EMAIL,STRING,-
NO_SHOW_AUTO_APPROVAL_EMAIL,STRING,-
MONTHLY_NO_SHOW_WARNING_EMAIL,STRING,-
MONTHLY_NO_SHOW_ACTION_EMAIL,STRING,-
ssoExpiryEmailBodyTemplate,STRING,-
ssoExpiryFollowUpEmailBodyTemplate,STRING,-
NO_SHOW_WARNING_EMAIL,STRING,-
SCHEDULE_REMINDER_NOTIFICATION_SUBJECT,STRING,-
SCHEDULE_REMINDER_NOTIFICATION_BODY,STRING,-
CAB_ARRIVAL_MESSAGE_FOR_NOTIFICATION,STRING,-
LOGOUT_CANCELLED_HEADER,STRING,-
LOGOUT_CANCELLED_MESSAGE,STRING,-
NO_SHOW_WARNING_MESSAGE,STRING,-
CAB_ARRIVAL_TITLE_FOR_NOTIFICATION,STRING,-
MONTHLY_NO_SHOW_WARNING_MESSAGE,STRING,-
NO_SHOW_WARNING_TITLE,STRING,-
NO_SHOW_FUTURE_SCHEDULES_REMOVED_TITLE,STRING,-
MONTHLY_NO_SHOW_FUTURE_SCHEDULES_REMOVED_MESSAGE,STRING,-
NO_SHOW_FUTURE_SCHEDULES_REMOVED_MESSAGE,STRING,-
TRANSPORT_BOUNDARY_VALIDATION_FAILED_MESSAGE,STRING,-
NO_SHOW_SCHEDULE_EDIT_PERMISSION_REVOKED_TITLE,STRING,-
NO_SHOW_SCHEDULE_EDIT_PERMISSION_REVOKED_MESSAGE,STRING,-
RADIAL_DISTANCE_VALIDATION_FAILED_MESSAGE,STRING,-
OFFICE_TO_HOME_DISTANCE_VALIDATION_FAILED_MESSAGE,STRING,-
RESTRICTED_AREA_VALIDATION_FAILED_MESSAGE,STRING,-
MONTHLY_NO_SHOW_SCHEDULE_EDIT_PERMISSION_REVOKED_MESSAGE,STRING,-
SEAT_BELT_NON_COMPLIANCE_EMAIL_SUBJECT,STRING,-
SEAT_BELT_NON_COMPLIANCE_EMAIL_TEMPLATE,STRING,-
FELLOW_PASSENGER_BOARDED_HEADER,STRING,-
PLANNED_EMPLOYEE_BOARDED_NOTIFICATION,STRING,-
NO_SHOW_EMPLOYEE_BOARDED_NOTIFICATION,STRING,-
FELLOW_PASSENGER_NO_SHOW_HEADER,STRING,-
REQUEST_APPROVAL_TEMPLATE,STRING,Mail request to a list of approvers.
REQUEST_APPROVED_SUBJECT,STRING,Admins approved support user request subject.
REQUEST_APPROVAL_SUBJECT,STRING,Stratus access request subject.
REQUEST_REJECTED_TEMPLATE,STRING,Stratus support user request rejection template.
REQUEST_REJECTED_SUBJECT,STRING,Stratus support user request rejected email subject.
REQUEST_APPROVED_TEMPLATE,STRING,Request approved email template to support user.
SUPPORT_USER_ADMINS_LIST,LIST,List of admins who will receive the approval request mail.
