Unique Configs Across All WIS Services (Case-Sensitive),,,
Total unique: 642   |   Appearing in >1 service: 36   |   Total entries before dedup: 679   |   Matching: case-sensitive,,,
,,,
Property Name,Description,Service(s),Service Count
ACCESS_MATRIX_ENABLED_BUIDS,Defines BUs with access matrix enabled.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
AD_HOC_MEETING,Enables auto check-in for room bookings within this defined window - this value is set in minutes.,MEETING ROOMS,1
addCustomFieldsWithVisitorBulkUpload,Adds custom fields to visitor bulk upload headers.,Visitor Management Service,1
ADDRESS_CHANGE_HOME_TO_OFFICE_DISTANCE_VALIDATION,,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
ADDRESS_CHANGE_RADIAL_DISTANCE_VALIDATION,,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
ADDRESS_CHANGE_RESTRICTED_AREA_VALIDATION,,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
ADDRESS_CHANGE_TRANSPORT_BOUNDARY_VALIDATION,,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
addRoomWithVisitorBulkUpload,Adds room details to visitor bulk upload headers.,Visitor Management Service,1
admin,Configures Admin role access.,PROJECT-MANAGEMENT-SERVICES,1
ADMIN_FRONT_DESK,Enables Visitor Management for Admin Front Desk.,PROJECT-MANAGEMENT-SERVICES,1
adminAssignmentFloorPlanUrl,Defines Admin Seat Allocation Floor Plan URL.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
adminExpUi,,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
adminexpUI,Defines Admin Experience UI URL.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
adminexpUi,Defines alternate Admin UI URL.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
adminFloorPlanUrl,Defines Admin Floor Plan URL.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
advanceBooking,"Enables users to book seats days or weeks in advance, rather than just same-day.",Booking Rule Engine,1
advanceBookingLimitInMinutes,Controls the window of advance booking for users to make room bookings.,MEETING ROOMS,1
airtelBuid,,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
allowBookingConversionFromWfhToWfo,Enables direct WFH to WFO booking conversion.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
allowBookingConversionFromWfoToWfh,Enables direct WFO to WFH booking conversion.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
allowBookingForOthers,Defines booking types allowed for others.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
allowCheckInAtIncorrectSlot,Allows check-in outside booked slot.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
allowedEmployeeNameRegex,Defines the allowed employee name format using regex validation.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
allowEmployeeToBooKAnySeatInB,"(Inferred) Allows employees to book any seat within their permitted Business Line (BL), bypassing stricter team allocations.",EMP_EXP_INTERNAL_CONFIGURATION,1
